"link";"category";"common name";"species name";"country"
2;"Coralsnakes";"Micrurus spp.";"Belize"
2;"Rainforest hognosed pitviper";"Porthidium nasutum";"Belize"
2;"Variable burrowing asp";"Atractaspis irregularis";"Benin"
1;"Puff adder";"Bitis arietans";"Benin"
2;"West African Gaboon viper";"Bitis rhinoceros";"Benin"
2;"Jameson's mamba";"Dendroaspis jamesoni";"Benin"
2;"Boomslang";"Dispholidus typus";"Benin"
2;"White-bellied carpet viper";"Echis leucogaster";"Benin"
1;"West African carpet viper";"Echis ocellatus";"Benin"
2;"West African brown spitting cobra";"Naja katiensis";"Benin"
2;"Forest cobra";"Naja melanoleuca";"Benin"
1;"Black-necked spitting cobra";"Naja nigricollis";"Benin"
2;"Senegalese cobra";"Naja senegalensis";"Benin"
2;"Black tree cobra";"Pseudohaje nigra";"Benin"
2;"Indian krait";"Bungarus caeruleus";"Bhutan"
2;"Banded krait";"Bungarus fasciatus";"Bhutan"
2;"Lesser black krait";"Bungarus lividus";"Bhutan"
1;"Greater black krait";"Bungarus niger";"Bhutan"
2;"Bamboo pitviper";"Cryptelytrops erythrurus";"Bhutan"
2;"Russell's viper";"Daboia russelii";"Bhutan"
2;"Monocellate cobra";"Naja kaouthia";"Bhutan"
1;"Indian cobra";"Naja naja";"Bhutan"
2;"King cobra";"Ophiophagus hannah";"Bhutan"
2;"Jerdon's pitviper";"Protobothrops jerdonii";"Bhutan"
2;"Amazonian toad-headed pitviper";"Bothrocophias hyoprora";"Bolivia (Plurinational State of)"
2;"Small-eyed toad-headed pitviper";"Bothrocophias microphthalmus";"Bolivia (Plurinational State of)"
1;"Common lancehead";"Bothrops atrox";"Bolivia (Plurinational State of)"
2;"Two-striped forest-pitviper";"Bothrops bilineatus";"Bolivia (Plurinational State of)"
2;"Brazil's lancehead";"Bothrops brazili";"Bolivia (Plurinational State of)"
2;"Jararacussu";"Bothrops jararacussu";"Bolivia (Plurinational State of)"
2;"Cochabamba lancehead";"Bothrops jonathani";"Bolivia (Plurinational State of)"
1;"Mato Grosso lancehead";"Bothrops mattogrossensis";"Bolivia (Plurinational State of)"
2;"Brazilian lancehead";"Bothrops moojeni";"Bolivia (Plurinational State of)"
2;"Bolivian lancehead";"Bothrops sanctaecrucis";"Bolivia (Plurinational State of)"
2;"Lanceheads";"Bothrops spp.";"Bolivia (Plurinational State of)"
2;"Speckled forest-pitviper";"Bothrops taeniatus";"Bolivia (Plurinational State of)"
1;"South American rattlesnake";"Crotalus durissus";"Bolivia (Plurinational State of)"
2;"Bushmaster";"Lachesis muta";"Bolivia (Plurinational State of)"
2;"South American coralsnake";"Micrurus lemniscatus";"Bolivia (Plurinational State of)"
2;"Amazonian coralsnake";"Micrurus spixii";"Bolivia (Plurinational State of)"
2;"Coralsnakes";"Micrurus spp.";"Bolivia (Plurinational State of)"
2;"Aquatic coralsnake";"Micrurus surinamensis";"Bolivia (Plurinational State of)"
1;"Nose-horned viper";"Vipera ammodytes";"Bosnia and Herzegovina"
2;"European adder";"Vipera berus";"Bosnia and Herzegovina"
2;"Meadow viper";"Vipera ursinii";"Bosnia and Herzegovina"
2;"Bibron's burrowing asp";"Atractaspis bibronii";"Botswana"
1;"Puff adder";"Bitis arietans";"Botswana"
1;"Black mamba";"Dendroaspis polylepis";"Botswana"
2;"Boomslang";"Dispholidus typus";"Botswana"
1;"Anchieta's cobra";"Naja anchietae";"Botswana"
1;"Snouted cobra";"Naja annulifera";"Botswana"
1;"Mozambique spitting cobra";"Naja mossambica";"Botswana"
1;"Cape cobra";"Naja nivea";"Botswana"
2;"Savanna vine or twig snake";"Thelotornis capensis";"Botswana"
2;"Amazonian toad-headed pitviper";"Bothrocophias hyoprora";"Brazil"
2;"Small-eyed toad-headed pitviper";"Bothrocophias microphthalmus";"Brazil"
2;"Urutu";"Bothrops alternatus";"Brazil"
1;"Common lancehead";"Bothrops atrox";"Brazil"
2;"Two-striped forest-pitviper";"Bothrops bilineatus";"Brazil"
2;"Brazil's lancehead";"Bothrops brazili";"Brazil"
2;"Chaco lancehead";"Bothrops diporus";"Brazil"
1;"Jararaca";"Bothrops jararaca";"Brazil"
1;"Jararacussu";"Bothrops jararacussu";"Brazil"
1;"Bahia lancehead";"Bothrops leucurus";"Brazil"
2;"Mato Grosso lancehead";"Bothrops mattogrossensis";"Brazil"
1;"Brazilian lancehead";"Bothrops moojeni";"Brazil"
2;"Neuwied's lancehead";"Bothrops neuwiedi";"Brazil"
2;"Pampas lancehead";"Bothrops pubescens";"Brazil"
2;"Lanceheads";"Bothrops spp.";"Brazil"
2;"Speckled forest-pitviper";"Bothrops taeniatus";"Brazil"
1;"South American rattlesnake";"Crotalus durissus";"Brazil"
2;"Bushmaster";"Lachesis muta";"Brazil"
2;"Painted coralsnake";"Micrurus corallinus";"Brazil"
2;"South American coralsnake";"Micrurus lemniscatus";"Brazil"
2;"Amazonian coralsnake";"Micrurus spixii";"Brazil"
2;"Coralsnakes";"Micrurus spp.";"Brazil"
2;"Aquatic coralsnake";"Micrurus surinamensis";"Brazil"
2;"Banded krait";"Bungarus fasciatus";"Brunei Darussalam"
2;"Red-headed krait";"Bungarus flaviceps";"Brunei Darussalam"
2;"Blue coralsnake";"Calliophis bivirgatus";"Brunei Darussalam"
2;"Striped coralsnake";"Calliophis intestinalis";"Brunei Darussalam"
1;"Equatorial spitting cobra";"Naja sumatrana";"Brunei Darussalam"
2;"King cobra";"Ophiophagus hannah";"Brunei Darussalam"
2;"Sumatran pitviper";"Parias sumatranus";"Brunei Darussalam"
2;"North Philippine temple pitviper";"Tropidolaemus subannulatus";"Brunei Darussalam"
1;"Nose-horned viper";"Vipera ammodytes";"Bulgaria"
2;"European adder";"Vipera berus";"Bulgaria"
2;"Meadow viper";"Vipera ursinii";"Bulgaria"
1;"Puff adder";"Bitis arietans";"Burkina Faso"
2;"Black mamba";"Dendroaspis polylepis";"Burkina Faso"
2;"Boomslang";"Dispholidus typus";"Burkina Faso"
2;"White-bellied carpet viper";"Echis leucogaster";"Burkina Faso"
1;"West African carpet viper";"Echis ocellatus";"Burkina Faso"
1;"West African brown spitting cobra";"Naja katiensis";"Burkina Faso"
2;"Forest cobra";"Naja melanoleuca";"Burkina Faso"
1;"Black-necked spitting cobra";"Naja nigricollis";"Burkina Faso"
2;"Senegalese cobra";"Naja senegalensis";"Burkina Faso"
2;"Bibron's burrowing asp";"Atractaspis bibronii";"Burundi"
2;"Variable burrowing asp";"Atractaspis irregularis";"Burundi"
1;"Puff adder";"Bitis arietans";"Burundi"
2;"East African Gaboon viper";"Bitis gabonica";"Burundi"
2;"Rhinoceros viper";"Bitis nasicornis";"Burundi"
2;"Jameson's mamba";"Dendroaspis jamesoni";"Burundi"
2;"Boomslang";"Dispholidus typus";"Burundi"
1;"Forest cobra";"Naja melanoleuca";"Burundi"
1;"Black-necked spitting cobra";"Naja nigricollis";"Burundi"
2;"Mozambique vine snake";"Thelotornis mossambicanus";"Burundi"
1;"Malayan krait";"Bungarus candidus";"Cambodia"
2;"Banded krait";"Bungarus fasciatus";"Cambodia"
2;"Red-headed krait";"Bungarus flaviceps";"Cambodia"
1;"Malayan pitviper";"Calloselasma rhodostoma";"Cambodia"
1;"White-lipped pitviper";"Cryptelytrops albolabris";"Cambodia"
2;"Big-eyed pitviper";"Cryptelytrops macrops";"Cambodia"
1;"Siamese Russell's viper";"Daboia siamensis";"Cambodia"
1;"Monocellate cobra";"Naja kaouthia";"Cambodia"
1;"Siamese spitting cobra";"Naja siamensis";"Cambodia"
2;"King cobra";"Ophiophagus hannah";"Cambodia"
2;"Broadley's bush viper";"Atheris broadleyi";"Cameroon"
2;"Variable bush viper";"Atheris squamigera";"Cameroon"
2;"Variable burrowing asp";"Atractaspis irregularis";"Cameroon"
1;"Puff adder";"Bitis arietans";"Cameroon"
1;"East African Gaboon viper";"Bitis gabonica";"Cameroon"
1;"Rhinoceros viper";"Bitis nasicornis";"Cameroon"
1;"Jameson's mamba";"Dendroaspis jamesoni";"Cameroon"
2;"Black mamba";"Dendroaspis polylepis";"Cameroon"
2;"Boomslang";"Dispholidus typus";"Cameroon"
1;"West African carpet viper";"Echis ocellatus";"Cameroon"
2;"Banded water cobra";"Naja annulata";"Cameroon"
1;"Egyptian cobra";"Naja haje";"Cameroon"
2;"West African brown spitting cobra";"Naja katiensis";"Cameroon"
1;"Forest cobra";"Naja melanoleuca";"Cameroon"
1;"Black-necked spitting cobra";"Naja nigricollis";"Cameroon"
2;"Gold's tree cobra";"Pseudohaje goldii";"Cameroon"
2;"Forest vine or twig snake";"Thelotornis kirtlandii";"Cameroon"
2;"North Pacific rattlesnake";"Crotalus oreganus";"Canada"
2;"Western rattlesnake";"Crotalus viridis";"Canada"
2;"Massasauga";"Sistrurus catenatus";"Canada"
2;"Broadley's bush viper";"Atheris broadleyi";"Central African Republic"
2;"Variable bush viper";"Atheris squamigera";"Central African Republic"
2;"Variable burrowing asp";"Atractaspis irregularis";"Central African Republic"
1;"Puff adder";"Bitis arietans";"Central African Republic"
1;"East African Gaboon viper";"Bitis gabonica";"Central African Republic"
2;"Rhinoceros viper";"Bitis nasicornis";"Central African Republic"
1;"Jameson's mamba";"Dendroaspis jamesoni";"Central African Republic"
1;"Black mamba";"Dendroaspis polylepis";"Central African Republic"
2;"Boomslang";"Dispholidus typus";"Central African Republic"
1;"West African carpet viper";"Echis ocellatus";"Central African Republic"
1;"East African carpet viper";"Echis pyramidum";"Central African Republic"
2;"Banded water cobra";"Naja annulata";"Central African Republic"
1;"Egyptian cobra";"Naja haje";"Central African Republic"
2;"Forest cobra";"Naja melanoleuca";"Central African Republic"
1;"Black-necked spitting cobra";"Naja nigricollis";"Central African Republic"
2;"Gold's tree cobra";"Pseudohaje goldii";"Central African Republic"
2;"Forest vine or twig snake";"Thelotornis kirtlandii";"Central African Republic"
1;"Puff adder";"Bitis arietans";"Chad"
2;"Horned viper";"Cerastes cerastes";"Chad"
2;"Boomslang";"Dispholidus typus";"Chad"
1;"West African carpet viper";"Echis ocellatus";"Chad"
1;"Egyptian cobra";"Naja haje";"Chad"
2;"West African brown spitting cobra";"Naja katiensis";"Chad"
1;"Black-necked spitting cobra";"Naja nigricollis";"Chad"
2;"Nubian spitting cobra";"Naja nubiae";"Chad"
2;"Northeastern hill krait";"Bungarus bungaroides";"China"
2;"Banded krait";"Bungarus fasciatus";"China"
1;"Many-banded krait";"Bungarus multicinctus";"China"
1;"White-lipped pitviper";"Cryptelytrops albolabris";"China"
1;"Siamese Russell's viper";"Daboia siamensis";"China"
1;"Sharp-nosed pitviper";"Deinagkistrodon acutus";"China"
1;"Short-tailed Mamushi";"Gloydius brevicaudus";"China"
2;"Halys pitviper";"Gloydius halys";"China"
2;"Central Asian pitviper";"Gloydius intermedius";"China"
2;"Ussuri Mamushi";"Gloydius ussuriensis";"China"
2;"Tibetan pitviper";"Himalayophis tibetanus";"China"
1;"Chinese cobra";"Naja atra";"China"
2;"Monocellate cobra";"Naja kaouthia";"China"
2;"King cobra";"Ophiophagus hannah";"China"
2;"Jerdon's pitviper";"Protobothrops jerdonii";"China"
2;"Kaulback's lance-headed pitviper";"Protobothrops kaulbacki";"China"
2;"Mangshan pitviper";"Protobothrops mangshanensis";"China"
1;"Brown-spotted pitviper";"Protobothrops mucrosquamatus";"China"
2;"Japanese keelback";"Rhabdophis tigrinus";"China"
2;"European adder";"Vipera berus";"China"
2;"Steppe viper";"Vipera renardi";"China"
2;"Stejneger's bamboo pitviper";"Viridovipera stejnegeri";"China"
2;"Eyelash palm-pitviper";"Bothriechis schlegelii";"Colombia"
2;"Amazonian toad-headed pitviper";"Bothrocophias hyoprora";"Colombia"
2;"Small-eyed toad-headed pitviper";"Bothrocophias microphthalmus";"Colombia"
2;"Toad-headed pitvipers";"Bothrocophias spp.";"Colombia"
1;"Terciopelo";"Bothrops asper";"Colombia"
1;"Common lancehead";"Bothrops atrox";"Colombia"
1;"Two-striped forest-pitviper";"Bothrops bilineatus";"Colombia"
2;"Brazil's lancehead";"Bothrops brazili";"Colombia"
2;"Lanceheads";"Bothrops spp.";"Colombia"
